Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,2,82,1,Some Random Commen with Id 0
1,0,2,83,5,Some Random Commen with Id 1
2,0,2,5,1,Some Random Commen with Id 2
3,0,2,128,4,Some Random Commen with Id 3
4,0,2,178,5,Some Random Commen with Id 4
5,0,2,83,2,Some Random Commen with Id 5
6,0,2,72,9,Some Random Commen with Id 6
7,1,1,32,2,Some Random Commen with Id 7
8,1,1,135,3,Some Random Commen with Id 8
9,1,1,37,5,Some Random Commen with Id 9
10,1,1,138,1,Some Random Commen with Id 10
11,1,1,186,4,Some Random Commen with Id 11
12,2,2,106,3,Some Random Commen with Id 12
13,2,2,125,8,Some Random Commen with Id 13
14,3,9,63,6,Some Random Commen with Id 14
15,3,9,28,0,Some Random Commen with Id 15
16,3,9,143,9,Some Random Commen with Id 16
17,3,9,77,3,Some Random Commen with Id 17
18,3,9,93,1,Some Random Commen with Id 18
19,3,9,6,3,Some Random Commen with Id 19
20,3,9,112,0,Some Random Commen with Id 20
21,3,9,88,1,Some Random Commen with Id 21
22,3,9,108,3,Some Random Commen with Id 22
23,4,5,48,4,Some Random Commen with Id 23
24,4,5,153,9,Some Random Commen with Id 24
25,4,5,78,1,Some Random Commen with Id 25
26,4,5,144,0,Some Random Commen with Id 26
27,6,7,166,3,Some Random Commen with Id 27
28,6,7,107,8,Some Random Commen with Id 28
29,6,7,157,8,Some Random Commen with Id 29
30,6,7,1,8,Some Random Commen with Id 30
31,7,9,173,9,Some Random Commen with Id 31
32,7,9,198,9,Some Random Commen with Id 32
33,7,9,25,3,Some Random Commen with Id 33
34,8,9,43,0,Some Random Commen with Id 34
35,8,9,199,1,Some Random Commen with Id 35
36,8,9,106,7,Some Random Commen with Id 36
37,8,9,31,3,Some Random Commen with Id 37
38,8,9,176,8,Some Random Commen with Id 38
39,8,9,67,7,Some Random Commen with Id 39
40,8,9,134,7,Some Random Commen with Id 40
41,8,9,123,8,Some Random Commen with Id 41
42,8,9,37,6,Some Random Commen with Id 42
43,9,2,0,3,Some Random Commen with Id 43
44,9,2,112,8,Some Random Commen with Id 44
45,9,2,63,9,Some Random Commen with Id 45
46,9,2,65,3,Some Random Commen with Id 46
47,9,2,135,4,Some Random Commen with Id 47
48,10,1,85,2,Some Random Commen with Id 48
49,10,1,11,0,Some Random Commen with Id 49
50,10,1,49,1,Some Random Commen with Id 50
51,10,1,121,5,Some Random Commen with Id 51
52,10,1,191,9,Some Random Commen with Id 52
53,10,1,113,2,Some Random Commen with Id 53
54,10,1,152,0,Some Random Commen with Id 54
55,11,8,175,6,Some Random Commen with Id 55
56,11,8,30,8,Some Random Commen with Id 56
57,11,8,16,9,Some Random Commen with Id 57
58,11,8,121,7,Some Random Commen with Id 58
59,11,8,27,7,Some Random Commen with Id 59
60,11,8,187,4,Some Random Commen with Id 60
61,11,8,158,0,Some Random Commen with Id 61
62,11,8,165,2,Some Random Commen with Id 62
63,11,8,112,4,Some Random Commen with Id 63
64,12,4,26,9,Some Random Commen with Id 64
65,12,4,1,6,Some Random Commen with Id 65
66,12,4,24,9,Some Random Commen with Id 66
67,12,4,24,1,Some Random Commen with Id 67
68,12,4,69,6,Some Random Commen with Id 68
69,12,4,168,8,Some Random Commen with Id 69
70,12,4,197,3,Some Random Commen with Id 70
71,13,9,107,1,Some Random Commen with Id 71
72,13,9,25,0,Some Random Commen with Id 72
73,13,9,83,9,Some Random Commen with Id 73
74,13,9,25,2,Some Random Commen with Id 74
75,13,9,18,5,Some Random Commen with Id 75
76,13,9,147,3,Some Random Commen with Id 76
77,13,9,49,2,Some Random Commen with Id 77
78,13,9,50,2,Some Random Commen with Id 78
79,14,9,57,7,Some Random Commen with Id 79
80,16,2,65,8,Some Random Commen with Id 80
81,16,2,80,8,Some Random Commen with Id 81
82,16,2,146,0,Some Random Commen with Id 82
83,16,2,178,0,Some Random Commen with Id 83
84,16,2,127,0,Some Random Commen with Id 84
85,17,6,44,9,Some Random Commen with Id 85
86,17,6,7,6,Some Random Commen with Id 86
87,17,6,47,8,Some Random Commen with Id 87
88,17,6,142,3,Some Random Commen with Id 88
89,17,6,100,4,Some Random Commen with Id 89
90,17,6,100,0,Some Random Commen with Id 90
91,17,6,82,8,Some Random Commen with Id 91
